# SN z phase m_Y m_Y_err mu_snpy mu_snpy_err mu_lcdm
2004eo 0.01470 -8.446 15.922 0.007 33.932 0.009 34.020
2004eo 0.01470 -7.510 15.799 0.006 33.932 0.009 34.020
2004eo 0.01470 -7.491 15.788 0.006 33.932 0.009 34.020
2004eo 0.01470 -6.536 15.681 0.006 33.932 0.009 34.020
2004eo 0.01470 -6.526 15.693 0.006 33.932 0.009 34.020
2004eo 0.01470 -1.593 15.680 0.006 33.932 0.009 34.020
2004eo 0.01470 -1.584 15.694 0.007 33.932 0.009 34.020
2004eo 0.01470 2.335 16.019 0.008 33.932 0.009 34.020
2004eo 0.01470 2.345 16.015 0.007 33.932 0.009 34.020
2004eo 0.01470 22.026 15.614 0.007 33.932 0.009 34.020
2004eo 0.01470 22.036 15.608 0.006 33.932 0.009 34.020
2004eo 0.01470 26.978 15.473 0.007 33.932 0.009 34.020
2004eo 0.01470 26.988 15.464 0.006 33.932 0.009 34.020
2007S 0.01510 -6.880 15.574 0.015 33.954 0.009 34.079
2007S 0.01510 -6.880 15.612 0.015 33.954 0.009 34.079
2007S 0.01510 15.716 16.254 0.016 33.954 0.009 34.079
2007S 0.01510 15.726 16.283 0.016 33.954 0.009 34.079
2007S 0.01510 26.595 15.662 0.015 33.954 0.009 34.079
2009ab 0.01090 -8.251 15.393 0.012 33.415 0.016 33.364
2009ab 0.01090 -8.241 15.421 0.013 33.415 0.016 33.364
2009ab 0.01090 2.558 15.587 0.010 33.415 0.016 33.364
2009ab 0.01090 2.558 15.609 0.015 33.415 0.016 33.364
2009ab 0.01090 3.537 15.641 0.012 33.415 0.016 33.364
2009ab 0.01090 3.547 15.659 0.010 33.415 0.016 33.364
2009ab 0.01090 5.525 15.809 0.014 33.415 0.016 33.364
2009ab 0.01090 5.525 15.777 0.011 33.415 0.016 33.364
2009ab 0.01090 7.512 15.933 0.010 33.415 0.016 33.364
2009ab 0.01090 7.522 15.910 0.012 33.415 0.016 33.364
2009ab 0.01090 9.500 15.977 0.012 33.415 0.016 33.364
2009ab 0.01090 9.510 15.989 0.011 33.415 0.016 33.364
2009ab 0.01090 17.382 15.625 0.013 33.415 0.016 33.364
2009ab 0.01090 17.392 15.606 0.013 33.415 0.016 33.364
2008gp 0.03280 -9.467 17.639 0.026 35.683 0.012 35.792
2008gp 0.03280 -9.457 17.551 0.029 35.683 0.012 35.792
2008gp 0.03280 -7.580 17.376 0.020 35.683 0.012 35.792
2008gp 0.03280 -7.570 17.365 0.027 35.683 0.012 35.792
2008gp 0.03280 -0.777 17.359 0.023 35.683 0.012 35.792
2008gp 0.03280 -0.777 17.397 0.027 35.683 0.012 35.792
2008gp 0.03280 1.110 17.507 0.027 35.683 0.012 35.792
2008gp 0.03280 1.110 17.544 0.032 35.683 0.012 35.792
2008gp 0.03280 4.971 17.884 0.045 35.683 0.012 35.792
