# snid z logmass logsfr logssfr SDSSu PS1g umg chi2 nbands
1998co -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998de -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998dh -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998dm -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998dx -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998ec -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998ef -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998eg -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998es -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999aa -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999ac -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999aw -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999by -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999cc -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999cl -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999cp -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999cw -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999da -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999dk -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999dq -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999ee -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999ef -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999ej -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999ek -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999gd -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999gh -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999gp -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
