OBS:   56980.044  z  E2   9.6445e+00   8.1552e+00    1   -9  31.436 1.509 45.4 14.9 4.07 183.31 859.66  20141118 
OBS:   56987.041  g  E2  -1.1567e+00   4.1199e+00    1   -9  30.810 2.331 7.9 4.2 3.86 190.92 861.61  20141125 
OBS:   56987.044  r  E2  -1.3866e+01   5.2141e+00    1   -9  30.809 1.999 11.1 4.2 3.75 181.74 859.68  20141125 
OBS:   56987.046  i  E2  -9.2376e+00   6.9434e+00    1   -9  31.047 1.870 21.4 8.0 3.92 179.38 865.63  20141125 
OBS:   56987.049  z  E2   4.3799e+00   8.6631e+00    1   -9  31.482 1.830 42.9 15.5 4.05 178.77 855.46  20141125 
OBS:   56990.042  g  E2  -3.1793e+01   4.6262e+01    1   -9  29.083 2.188 26.9 0.8 4.06 229.18 857.10  20141128 
OBS:   56990.047  i  E2  -4.1006e+01   2.8662e+01    1   -9  30.125 2.051 41.9 3.4 3.94 218.45 857.63  20141128 
OBS:   56990.050  z  E2   8.1423e+00   4.4053e+01    1   -9  30.173 2.045 67.6 4.6 4.02 219.98 855.54  20141128 
OBS:   56991.108  g  E2  -2.2442e+01   1.5995e+01  1025   -9  30.762 4.462 17.1 4.0 4.00 209.95 869.11  20141129 
OBS:   56991.111  r  E2  -1.2398e+01   1.6172e+01  1025   -9  30.800 4.380 17.5 4.2 3.85 222.53 860.34  20141129 
OBS:   56991.113  i  E2  -9.5010e+00   1.9989e+01  1025   -9  31.030 4.339 27.0 7.8 3.81 229.11 871.56  20141129 
OBS:   56991.115  z  E2  -2.3651e+01   2.3224e+01  1025   -9  31.449 4.322 46.7 15.2 4.03 240.30 878.18  20141129 
OBS:   56992.046  g  E2   7.4170e+00   9.1073e+00    1   -9  30.778 2.458 19.7 4.0 3.99 210.12 857.73  20141130 
OBS:   56992.049  r  E2   2.3828e+00   8.5557e+00    1   -9  30.798 2.270 19.2 4.2 3.83 208.19 861.62  20141130 
OBS:   56992.051  i  E2   6.0725e-01   9.6650e+00    1   -9  31.049 2.194 27.9 8.0 3.89 215.88 855.48  20141130 
OBS:   56992.053  z  E2   5.2286e+00   1.1170e+01    1   -9  31.524 2.193 50.8 16.3 4.05 225.01 870.49  20141130 
