  SN    |    MJD|f|  omag|_omag|  Phase
SN2012ht|56285.3|Y|14.315|0.024|-10.400
SN2012ht|56287.4|Y|13.867|0.019| -8.300
SN2012ht|56288.3|Y|13.763|0.021| -7.400
SN2012ht|56289.3|Y|13.646|0.016| -6.400
SN2012ht|56292.3|Y|13.503|0.031| -3.400
SN2012ht|56293.3|Y|13.569|0.022| -2.400
SN2012ht|56295.3|Y|13.706|0.016| -0.400
SN2012ht|56297.3|Y|13.931|0.024|  1.600
SN2012ht|56318.3|Y|13.823|0.012| 22.600
SN2012ht|56319.3|Y|13.772|0.019| 23.600
SN2012ht|56320.2|Y|13.673|0.027| 24.500
SN2012ht|56327.3|Y|13.901|0.019| 31.600
SN2012ht|56347.2|Y|15.086|0.029| 51.500
SN2012ht|56350.2|Y|15.261|0.025| 54.500
SN2012ht|56354.2|Y|15.438|0.023| 58.500
SN2012ht|56385.2|Y|16.817|0.012| 89.500
SN2012ht|56284.3|J|14.555|0.011|-11.400
SN2012ht|56285.4|J|14.219|0.022|-10.300
SN2012ht|56287.4|J|13.805|0.011| -8.300
SN2012ht|56288.4|J|13.666|0.013| -7.300
SN2012ht|56289.3|J|13.554|0.010| -6.400
SN2012ht|56292.3|J|13.452|0.023| -3.400
SN2012ht|56293.3|J|13.482|0.016| -2.400
SN2012ht|56295.3|J|13.583|0.013| -0.400
SN2012ht|56297.3|J|13.762|0.011|  1.600
SN2012ht|56318.3|J|14.885|0.010| 22.600
SN2012ht|56319.3|J|14.831|0.011| 23.600
SN2012ht|56320.2|J|14.775|0.011| 24.500
SN2012ht|56327.4|J|15.169|0.011| 31.700
SN2012ht|56347.2|J|16.750|0.028| 51.500
SN2012ht|56350.2|J|16.976|0.019| 54.500
SN2012ht|56354.2|J|17.277|0.021| 58.500
SN2012ht|56284.3|H|14.568|0.012|-11.400
SN2012ht|56285.4|H|14.304|0.018|-10.300
SN2012ht|56287.4|H|13.885|0.014| -8.300
SN2012ht|56288.4|H|13.751|0.014| -7.300
SN2012ht|56289.3|H|13.653|0.015| -6.400
SN2012ht|56292.3|H|13.619|0.022| -3.400
SN2012ht|56293.3|H|13.735|0.023| -2.400
